2019-02-14 21:13:56 configure javascript-common:all 11 <none>
2019-02-14 21:13:56 status unpacked javascript-common:all 11
2019-02-14 21:13:56 status unpacked javascript-common:all 11
2019-02-14 21:13:56 status unpacked javascript-common:all 11
2019-02-14 21:13:56 status half-configured javascript-common:all 11
2019-02-14 21:13:57 status installed javascript-common:all 11
2019-02-14 21:13:57 configure libjs-jquery:all 1.7.2+dfsg-3.2 <none>
2019-02-14 21:13:57 status unpacked libjs-jquery:all 1.7.2+dfsg-3.2
2019-02-14 21:13:57 status half-configured libjs-jquery:all 1.7.2+dfsg-3.2
2019-02-14 21:13:57 status installed libjs-jquery:all 1.7.2+dfsg-3.2
2019-02-14 21:13:57 configure libjs-node-uuid:all 1.4.0-1 <none>
2019-02-14 21:13:57 status unpacked libjs-node-uuid:all 1.4.0-1
2019-02-14 21:13:57 status half-configured libjs-node-uuid:all 1.4.0-1
2019-02-14 21:13:57 status installed libjs-node-uuid:all 1.4.0-1
2019-02-14 21:13:58 configure libjs-underscore:all 1.7.0~dfsg-1 <none>
2019-02-14 21:13:58 status unpacked libjs-underscore:all 1.7.0~dfsg-1
2019-02-14 21:13:58 status half-configured libjs-underscore:all 1.7.0~dfsg-1
2019-02-14 21:13:58 status installed libjs-underscore:all 1.7.0~dfsg-1
2019-02-14 21:13:58 configure libv8-3.14.5:amd64 3.14.5.8-8.1 <none>
2019-02-14 21:13:58 status unpacked libv8-3.14.5:amd64 3.14.5.8-8.1
2019-02-14 21:13:58 status half-configured libv8-3.14.5:amd64 3.14.5.8-8.1
2019-02-14 21:13:58 status installed libv8-3.14.5:amd64 3.14.5.8-8.1
2019-02-14 21:13:59 configure libv8-3.14-dev:amd64 3.14.5.8-8.1 <none>
2019-02-14 21:13:59 status unpacked libv8-3.14-dev:amd64 3.14.5.8-8.1
2019-02-14 21:13:59 status half-configured libv8-3.14-dev:amd64 3.14.5.8-8.1
2019-02-14 21:13:59 status installed libv8-3.14-dev:amd64 3.14.5.8-8.1
2019-02-14 21:13:59 configure nodejs:amd64 0.10.29~dfsg-2 <none>
2019-02-14 21:13:59 status unpacked nodejs:amd64 0.10.29~dfsg-2
2019-02-14 21:13:59 status half-configured nodejs:amd64 0.10.29~dfsg-2
2019-02-14 21:13:59 status installed nodejs:amd64 0.10.29~dfsg-2
2019-02-14 21:14:00 configure node-async:all 0.8.0-1 <none>
2019-02-14 21:14:00 status unpacked node-async:all 0.8.0-1
2019-02-14 21:14:00 status half-configured node-async:all 0.8.0-1
2019-02-14 21:14:00 status installed node-async:all 0.8.0-1
2019-02-14 21:14:00 configure node-node-uuid:all 1.4.0-1 <none>
2019-02-14 21:14:00 status unpacked node-node-uuid:all 1.4.0-1
2019-02-14 21:14:00 status half-configured node-node-uuid:all 1.4.0-1
2019-02-14 21:14:01 status installed node-node-uuid:all 1.4.0-1
2019-02-14 21:14:01 configure node-underscore:all 1.7.0~dfsg-1 <none>
2019-02-14 21:14:01 status unpacked node-underscore:all 1.7.0~dfsg-1
2019-02-14 21:14:01 status half-configured node-underscore:all 1.7.0~dfsg-1
